State,Gun law
California,A
Connecticut,A
New Jersey,A
Massachusetts,A
Maryland,A
New York,A
Hawaii,A
Illinois,B
Rhode Island,B
Washington,B
Delaware,B
Minnesota,C
Pennsylvania,C
Colorado,C
Oregon,C
Iowa,C
Michigan,C
Nevada,C
Wisconsin,C
Nebraska,D
Ohio,D
Virginia,D
New Hampshire,D
Indiana,D
North Carolina,D
Florida,F
Oklahoma,F
Tennessee,F
Georgia,F
New Mexico,F
North Dakota,F
South Carolina,F
Utah,F
Texas,F
West Virginia,F
Maine,F
Alabama,F
Arkansas,F
Montana,F
South Dakota,F
Vermont,F
Kentucky,F
Louisiana,F
Alaska,F
Wyoming,F
Idaho,F
Arizona,F
Kansas,F
Missouri,F
Mississippi,F
